1 4 7 10 13
8 4 7 10 13
4 8 7 10 13
4 5 7 10 13
4 4 7 10 13
4 2 7 10 13
4 7 11 10 13
4 7 8 10 13
4 7 7 10 13
4 7 6 10 13
4 7 10 14 13
4 7 10 11 13
4 7 10 10 13
4 7 10 9 13
4 7 10 13 17
4 7 10 13 14
4 7 10 13 13
4 7 10 13 11
13 10 7 4 1
17 13 10 7 4
12 13 10 7 4
10 13 10 7 4
9 13 10 7 4
13 14 10 7 4
13 12 10 7 4
13 10 10 7 4
13 9 10 7 4
13 7 10 7 4
13 6 10 7 4
13 10 13 7 4
13 10 11 7 4
13 10 10 7 4
13 10 9 7 4
13 10 7 7 4
13 10 6 7 4
13 10 4 7 4
13 10 7 14 4
13 10 7 13 4
13 10 7 11 4
13 10 7 10 4
13 10 7 9 4
13 10 7 8 4
13 10 7 6 4
13 10 7 4 4
13 10 7 3 4
13 10 7 4 13
13 10 7 4 10
13 10 7 4 8
13 10 7 4 7
13 10 7 4 6
13 10 7 4 4
13 10 7 4 3
13 10 7 4 0
